Dataset,Nodes,Edges,Heuristic,Raw,Naive_pruned,Fort_pruned,Naive_s,Fort_s,Speedup,Naive_clo,Fort_clo
IEEE57,57,78,H1,12,3,3,0.0015,0.0013,1.15,15,12
IEEE57,57,78,H2,4,4,4,0.0004,0.0005,0.76,4,4
IEEE57,57,78,H3,14,4,4,0.0016,0.0015,1.13,18,14
IEEE57,57,78,H4,6,4,4,0.0009,0.0007,1.35,10,6
IEEE57,57,78,H5,12,3,3,0.0013,0.0013,1.03,15,12
IEEE118,118,179,H1,36,10,10,0.0073,0.0059,1.24,46,36
IEEE118,118,179,H2,10,9,9,0.0033,0.0022,1.48,19,10
IEEE118,118,179,H3,70,10,10,0.0141,0.012,1.18,80,70
IEEE118,118,179,H4,11,8,8,0.0034,0.0023,1.45,19,11
IEEE118,118,179,H5,41,10,10,0.0082,0.0068,1.21,51,41
IEEE300,300,409,H1,155,32,32,0.076,0.0635,1.2,187,155
IEEE300,300,409,H2,36,31,31,0.0302,0.0175,1.73,67,36
IEEE300,300,409,H3,245,52,52,0.1256,0.1088,1.15,297,245
IEEE300,300,409,H4,40,34,34,0.0321,0.0199,1.62,74,40
IEEE300,300,409,H5,164,33,33,0.0802,0.0665,1.21,197,164
illinois200,200,245,H1,44,21,21,0.0163,0.0113,1.43,65,44
illinois200,200,245,H2,23,20,20,0.0127,0.0067,1.88,43,23
illinois200,200,245,H3,98,29,29,0.0317,0.0254,1.24,127,98
illinois200,200,245,H4,25,20,20,0.0126,0.0071,1.77,45,25
illinois200,200,245,H5,46,21,21,0.0165,0.0115,1.44,67,46
pegase1354,1354,1710,H1,495,182,182,1.177,0.888,1.33,677,495
pegase1354,1354,1710,H2,180,177,177,0.6739,0.3255,2.07,357,180
pegase1354,1354,1710,H3,1121,251,251,2.4311,2.1412,1.14,1372,1121
pegase1354,1354,1710,H4,213,178,178,0.6871,0.3833,1.79,391,213
pegase1354,1354,1710,H5,550,181,181,1.2119,1.0054,1.21,731,550
pegase2869,2869,3968,H1,1179,321,321,6.3413,5.0534,1.25,1500,1179
pegase2869,2869,3968,H2,326,309,309,3.1368,1.7418,1.8,635,326
pegase2869,2869,3968,H3,2510,453,453,12.6328,10.5156,1.2,2963,2510
pegase2869,2869,3968,H4,387,310,310,3.2085,1.8179,1.76,697,387
pegase2869,2869,3968,H5,1251,321,321,6.3669,4.7243,1.35,1572,1251
pegase9241,9241,14207,H1,3798,897,897,69.1357,53.8454,1.28,4695,3798
pegase9241,9241,14207,H2,920,850,850,30.3714,15.8908,1.91,1770,920
pegase9241,9241,14207,H3,8119,1225,1225,139.345,118.1823,1.18,9344,8119
pegase9241,9241,14207,H4,1058,859,859,32.6219,17.9867,1.81,1917,1058
pegase9241,9241,14207,H5,3975,918,918,71.335,57.404,1.24,4893,3975
case1888rte,1888,2308,H1,582,246,246,2.1061,1.4657,1.44,828,582
case1888rte,1888,2308,H2,254,238,238,1.3154,0.6993,1.88,492,254
case1888rte,1888,2308,H3,1363,359,359,4.3852,3.4741,1.26,1722,1363
case1888rte,1888,2308,H4,291,240,240,1.3739,0.7899,1.74,531,291
case1888rte,1888,2308,H5,778,264,264,2.4631,1.8301,1.35,1042,778
case2848rte,2848,3442,H1,884,364,364,4.8162,3.3685,1.43,1248,884
case2848rte,2848,3442,H2,381,355,355,3.0554,1.6036,1.91,736,381
case2848rte,2848,3442,H3,2229,559,559,10.8693,8.7037,1.25,2788,2229
case2848rte,2848,3442,H4,439,355,355,3.3562,1.8472,1.82,794,439
case2848rte,2848,3442,H5,1139,404,404,5.8399,4.2759,1.37,1543,1139
case6470rte,6470,8066,H1,2146,802,802,28.3794,21.1145,1.34,2948,2146
case6470rte,6470,8066,H2,802,754,754,18.6134,9.0719,2.05,1556,802
case6470rte,6470,8066,H3,5582,1228,1228,68.8437,55.1583,1.25,6810,5582
case6470rte,6470,8066,H4,911,754,754,16.5166,9.1996,1.8,1665,911
case6470rte,6470,8066,H5,2511,841,841,32.4165,23.4284,1.38,3352,2511
case1951rte,1882,2305,H1,594,249,249,2.1147,1.4803,1.43,843,594
case1951rte,1882,2305,H2,257,243,243,1.3674,0.7065,1.94,500,257
case1951rte,1882,2305,H3,1379,362,362,4.4313,3.5989,1.23,1741,1379
case1951rte,1882,2305,H4,297,244,244,1.4622,0.8067,1.81,541,297
case1951rte,1882,2305,H5,782,261,261,2.5208,1.8747,1.34,1043,782
case2868rte,2696,3240,H1,861,368,368,4.9873,3.171,1.57,1229,861
case2868rte,2696,3240,H2,378,349,349,2.9448,1.5254,1.93,727,378
case2868rte,2696,3240,H3,2239,618,618,10.9186,8.4602,1.29,2857,2239
case2868rte,2696,3240,H4,434,349,349,3.0678,1.7295,1.77,783,434
case2868rte,2696,3240,H5,1089,401,401,5.2866,3.7972,1.39,1490,1089
case6468rte,6461,8058,H1,2133,786,786,27.9758,19.8504,1.41,2919,2133
case6468rte,6461,8058,H2,783,736,736,23.7983,10.0331,2.37,1519,783
case6468rte,6461,8058,H3,5585,1202,1202,75.5434,59.668,1.27,6787,5585
case6468rte,6461,8058,H4,895,738,738,20.3375,10.5746,1.92,1633,895
case6468rte,6461,8058,H5,2499,829,829,35.9383,27.6407,1.3,3328,2499
