Dataset,Nodes,Edges,K,H1,H1_time,H2,H2_time,H3,H3_time,H4,H4_time,H5,H5_time
pegase2869,2869,3968,5,1177,3.0442,333,1.4835,2507,6.972,382,9.0543,1248,3.5149
pegase2869,2869,3968,10,1177,3.0463,343,1.4201,2509,7.5186,399,9.9073,1253,3.8801
pegase9241,9241,14207,3,3800,35.4933,933,14.6962,8117,76.9255,1054,100.7101,3976,42.2141
pegase9241,9241,14207,5,3795,36.4578,934,15.6239,8116,75.6844,1063,94.4246,3971,39.4359
pegase9241,9241,14207,10,3798,36.0195,934,14.0009,8115,77.051,1064,94.3053,3968,40.0038
case1888rte,1888,2308,3,587,0.9961,256,0.6267,1370,2.2065,289,3.7802,775,1.3524
case1888rte,1888,2308,5,579,0.9381,261,0.6685,1360,2.3768,293,3.7755,773,1.3544
case1888rte,1888,2308,10,585,0.9529,264,0.6607,1356,2.2016,298,3.8447,776,1.3759
case2848rte,2848,3442,3,892,2.3458,382,1.5276,2228,5.6191,440,8.399,1139,3.4379
case2848rte,2848,3442,5,895,2.266,389,1.4844,2231,5.4894,443,9.5672,1137,2.9863
case2848rte,2848,3442,10,902,2.2266,392,1.4955,2225,5.5822,442,8.7234,1142,3.0179
case6470rte,6470,8066,3,2145,14.6213,810,8.4652,5580,39.6756,906,44.9315,2510,17.492
case6470rte,6470,8066,5,2151,14.2764,804,8.3424,5582,35.4388,910,45.0608,2509,16.8319
case6470rte,6470,8066,10,2155,13.9382,818,7.8649,5574,35.4183,924,45.8453,2519,16.5657
case1951rte,1882,2305,3,592,1.0239,260,0.6959,1384,2.3407,301,4.2679,784,1.7729
case1951rte,1882,2305,5,590,1.1759,264,0.7462,1378,2.3365,302,4.2395,777,1.4326
case1951rte,1882,2305,10,595,1.0169,276,0.7231,1382,2.3536,306,4.3621,782,1.4373
case2868rte,2696,3240,3,867,2.2733,379,1.4621,2237,5.6352,439,8.5045,1089,2.7844
case2868rte,2696,3240,5,859,2.0646,379,1.421,2242,5.3922,437,8.5521,1099,2.847
case2868rte,2696,3240,10,862,2.089,382,1.4805,2252,5.6437,447,9.2749,1093,2.9748
case6468rte,6461,8058,3,2135,13.8735,785,7.8354,5585,36.7799,894,44.7285,2498,17.4641
case6468rte,6461,8058,5,2129,14.6488,790,8.0049,5581,36.6581,897,48.9483,2495,16.4641
case6468rte,6461,8058,10,2128,13.3554,794,7.9847,5582,36.7546,897,48.4998,2508,19.6203
